,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,hamilton,1,US,1590338694,69,39.18,-84.53,84.99,3.36
1,mattoon,1,US,1590338718,69,39.48,-88.37,84.0,5.82
2,yellowknife,20,CA,1590338718,59,62.46,-114.35,39.0,2.24
3,albany,100,US,1590338666,33,42.6,-73.97,70.0,9.19
4,hobart,90,AU,1590338718,75,-42.88,147.33,46.4,8.05
5,jamestown,40,US,1590338718,64,42.1,-79.24,79.0,16.11
6,kavieng,92,PG,1590338718,78,-2.57,150.8,81.81,1.03
7,punta arenas,33,PH,1590338718,84,8.99,125.34,78.42,3.98
8,mataura,97,NZ,1590338718,94,-46.19,168.86,46.08,0.96
9,vaini,40,TO,1590338718,88,-21.2,-175.2,68.0,4.7
10,upernavik,97,GL,1590338718,97,72.79,-56.15,28.8,11.68
11,puerto carreno,0,ES,1590338718,37,36.59,-6.23,91.4,13.87
12,raudeberg,40,NO,1590338719,81,61.99,5.14,53.6,19.46
13,codrington,74,AU,1590338719,82,-38.27,141.97,50.14,7.11
14,bajil,2,YE,1590338719,42,15.06,43.29,93.94,5.73
15,lompoc,90,US,1590338719,81,34.64,-120.46,55.4,3.89
16,rikitea,90,PF,1590338719,69,-23.12,-134.97,71.29,24.38
17,pedreiras,44,BR,1590338719,65,-4.57,-44.6,88.38,2.15
18,predivinsk,4,RU,1590338719,57,57.07,93.44,60.03,4.74
19,sitka,90,US,1590338719,93,57.05,-135.33,46.4,12.75
20,zhezkazgan,0,KZ,1590338719,29,47.8,67.71,77.0,8.95
21,portland,75,US,1590338286,71,45.52,-122.68,60.01,1.14
22,nanortalik,25,GL,1590338719,72,60.14,-45.24,43.36,7.0
23,riyadh,0,SA,1590338522,16,24.69,46.72,98.6,4.7
24,cape town,20,CL,1590338720,55,-36.41,-71.9,64.4,4.7
25,busselton,81,AU,1590338720,67,-33.65,115.33,61.0,37.13
26,cerrito,40,CO,1590338720,65,6.84,-72.69,80.6,4.7
